,path,field_change_date_2,field_letter_issue_datetime,field_company_name_warning_lette,field_issuing_office,field_issuing_office_loc_name,field_recipient_office_name,field_building,field_letter_type_1,issuing-recipient-office,field_recipient_state,field_recipient_address_administrative_area,term_node_tid,field_detailed_description_2,field_topics,topics-product,field_letter_issue_datetime_1,field_letter_type,field_associated_for_response_le,field_associated_for_closeout_le,checkresponse,changed,abs_url,company_name
0,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/suzhou-pharmaceutical-technology-coltd-508490-01062017,01/17/2017,01/06/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/suzhou-pharmaceutical-technology-coltd-508490-01062017"">Suzhou Pharmaceutical Technology Co.,Ltd</a>",,Center for Drug Evaluation and Research,,Center for Drug Evaluation and Research,Warning Letter,Center for Drug Evaluation and Research,,,,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:57",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/suzhou-pharmaceutical-technology-coltd-508490-01062017,"Suzhou Pharmaceutical Technology Co.,Ltd"
1,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sato-yakuhin-kogyo-co-ltd-512711-01062017,01/17/2017,01/06/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sato-yakuhin-kogyo-co-ltd-512711-01062017"">Sato Yakuhin Kogyo Co., Ltd.</a>",,Center for Drug Evaluation and Research,,Center for Drug Evaluation and Research,Warning Letter,Center for Drug Evaluation and Research,,,,CGMP/Finished Pharmaceuticals/Adulterated,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:53",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sato-yakuhin-kogyo-co-ltd-512711-01062017,"Sato Yakuhin Kogyo Co., Ltd."
2,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hawaiian-ono-services-inc-514302-01102017,01/17/2017,01/10/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hawaiian-ono-services-inc-514302-01102017"">Hawaiian Ono Services, Inc.</a>",,San Francisco District Office,,San Francisco District Office,Warning Letter,San Francisco District Office,Hawaii,Hawaii,,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:51",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hawaiian-ono-services-inc-514302-01102017,"Hawaiian Ono Services, Inc."
3,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/aspen-hills-inc-509769-01102017,01/17/2017,01/10/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/aspen-hills-inc-509769-01102017"">Aspen Hills, Inc.</a>",,Kansas City District Office,,Kansas City District Office,Warning Letter,Kansas City District Office,Iowa,Iowa,,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated/L. monocytogenes",,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:52",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/aspen-hills-inc-509769-01102017,"Aspen Hills, Inc."
4,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/walters-pharmacy-inc-506596-01112017,01/23/2017,01/11/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/walters-pharmacy-inc-506596-01112017"">Walter&#039;s Pharmacy, Inc.</a>",,Philadelphia District Office,,Philadelphia District Office,Warning Letter,Philadelphia District Office,Pennsylvania,Pennsylvania,,Compounding Pharmacy/Adulteration/Misbranding,,,2017,Warning Letter,,"
<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/walters-pharmacy-inc-05092018""><time datetime=""2018-05-17T06:58:00Z"">05/17/2018</time>
</a> 
",Closeout Letters,"Thu, 02/27/2020 - 10:00",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/walters-pharmacy-inc-506596-01112017,"Walter's Pharmacy, Inc."
5,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fisk-seafood-ehf-512748-01112017,01/24/2017,01/11/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fisk-seafood-ehf-512748-01112017"">Fisk Seafood ehf</a>",,Center for Food Safety and Applied Nutrition,,Center for Food Safety and Applied Nutrition,Warning Letter,Center for Food Safety and Applied Nutrition,,,,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:52",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fisk-seafood-ehf-512748-01112017,Fisk Seafood ehf
6,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/porton-biopharma-limited-509689-01172017,01/24/2017,01/17/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/porton-biopharma-limited-509689-01172017"">Porton Biopharma Limited</a>",,Center for Drug Evaluation and Research,,Center for Drug Evaluation and Research,Warning Letter,Center for Drug Evaluation and Research,,,,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:56",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/porton-biopharma-limited-509689-01172017,Porton Biopharma Limited
7,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/avicola-santos-inc-508164-01172017-0,01/24/2017,01/17/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/avicola-santos-inc-508164-01172017-0"">Avicola Santos, Inc. </a>",,,,Division of Human and Animal Food Operations East IV,Warning Letter,Division of Human and Animal Food Operations East IV,,,Food &amp; Beverages,Food/Egg/Prepared Packed or Held Under Insanitary Conditions/Adulterated,,Food &amp; Beverages,2017,Warning Letter,,,,"Thu, 03/12/2020 - 08:45",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/avicola-santos-inc-508164-01172017-0,"Avicola Santos, Inc. "
8,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wellington-foods-505161-01062017,01/30/2017,01/06/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wellington-foods-505161-01062017"">Wellington Foods</a>",,Los Angeles District Office,,Los Angeles District Office,Warning Letter,Los Angeles District Office,California,California,,CGMP/Dietary Supplement/Adulterated/Misbranded,,,2017,Warning Letter,,"
<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wellington-foods-505161-05142018""><time datetime=""2018-05-18T10:45:00Z"">05/18/2018</time>
</a> 
",Closeout Letters,"Thu, 02/27/2020 - 09:55",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wellington-foods-505161-01062017,Wellington Foods
9,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/domestic-tobacco-co-510911-01192017,01/30/2017,01/19/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/domestic-tobacco-co-510911-01192017"">Domestic Tobacco Co.</a>",,Center for Tobacco Products,,Center for Tobacco Products,Warning Letter,Center for Tobacco Products,,,,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,2017,Warning Letter,,"
<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/domestic-tobacco-company-llc-510912-06292018""><time datetime=""2018-10-05T04:00:00Z"">10/05/2018</time>
</a> 
",Closeout Letters,"Fri, 10/09/2020 - 10:05",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/domestic-tobacco-co-510911-01192017,Domestic Tobacco Co.
